"","PERC_N.11.comps"
"Wave_1690",-1.40656452562588
"Wave_1691",-1.11824597245934
"Wave_1692",-0.699879120012213
"Wave_1693",-0.35559392489893
"Wave_1694",-0.288776779093452
"Wave_1695",-0.176564737498972
"Wave_1696",0.0613579042728984
"Wave_1697",0.210314914840386
"Wave_1698",0.302419860321839
"Wave_1699",0.36275823123869
"Wave_1700",0.431098406593819
"Wave_1701",0.440500487825934
"Wave_1702",0.482848173869941
"Wave_1703",0.6416970594764
"Wave_1704",0.798215352654577
"Wave_1705",0.820065978458391
"Wave_1706",0.767382681941683
"Wave_1707",0.879441949086416
"Wave_1708",1.00155941730228
"Wave_1709",0.989133558506275
"Wave_1710",0.985503800922732
"Wave_1711",0.923766071669165
"Wave_1712",0.810385053620588
"Wave_1713",0.727939814755763
"Wave_1714",0.608573966689876
"Wave_1715",0.371780666211036
"Wave_1716",0.244074552640091
"Wave_1717",0.159155730469227
"Wave_1718",0.0514271593328496
"Wave_1719",-0.00233742906924123
"Wave_1720",-0.189762445448288
"Wave_1721",-0.343082864549609
"Wave_1722",-0.466085339859344
"Wave_1723",-0.667696218176765
"Wave_1724",-0.812319756755388
"Wave_1725",-0.88657841481786
"Wave_1726",-0.977038600480915
"Wave_1727",-1.11354829491662
"Wave_1728",-1.26955930636125
"Wave_1729",-1.47006265615641
"Wave_1730",-1.64989313226813
"Wave_1731",-1.90562318482473
"Wave_1732",-2.06669803375796
"Wave_1733",-2.01752053394666
"Wave_1734",-2.00027113508453
"Wave_1735",-1.95219554415908
"Wave_1736",-1.88864152130336
"Wave_1737",-2.02085876711981
"Wave_1738",-2.05237456882747
"Wave_1739",-1.89143417787675
"Wave_1740",-1.86794351462286
"Wave_1741",-2.12092424379791
"Wave_1742",-2.20905954537384
"Wave_1743",-2.19903943740899
"Wave_1744",-2.05747855862345
"Wave_1745",-1.92721549244521
"Wave_1746",-1.8568574667753
"Wave_1747",-1.71226010511164
"Wave_1748",-1.66024267691729
"Wave_1749",-1.58266646524437
"Wave_1750",-1.40950567302703
"Wave_1751",-1.28672869052768
"Wave_1752",-0.99809506373498
"Wave_1753",-0.735104476250636
"Wave_1754",-0.534391815268181
"Wave_1755",-0.388278190544979
"Wave_1756",-0.425842907411175
"Wave_1757",-0.300928628133807
"Wave_1758",-0.0151864132130187
"Wave_1759",0.144625459685121
"Wave_1760",0.330439294767787
"Wave_1761",0.650132973256597
"Wave_1762",0.83516044812023
"Wave_1763",0.944871905449023
"Wave_1764",1.2322808879875
"Wave_1765",1.54794641455632
"Wave_1766",1.68632039785731
"Wave_1767",1.90107804868412
"Wave_1768",2.42094117281314
"Wave_1769",2.80567793232729
"Wave_1770",2.96069935188594
"Wave_1771",3.17594657169965
"Wave_1772",3.44674515468139
"Wave_1773",3.71345163310796
"Wave_1774",3.98297017565793
"Wave_1775",4.1461933174314
"Wave_1776",4.29101021603185
"Wave_1777",4.50325129153222
"Wave_1778",4.71984917484484
"Wave_1779",4.73735569425698
"Wave_1780",4.73900295082368
"Wave_1781",4.81532285006709
"Wave_1782",4.81626432211749
"Wave_1783",4.77629195857886
"Wave_1784",4.82843472200349
"Wave_1785",4.79475550883083
"Wave_1786",4.78799014782643
"Wave_1787",4.83565294647648
"Wave_1788",4.74817971782481
"Wave_1789",4.54986009960225
"Wave_1790",4.41151261335591
"Wave_1791",3.15280403227363
"Wave_1792",3.38755190173899
"Wave_1793",3.62836786396632
