"","CELL_PERC_DW.13.comps"
"Wave_1391",1.71898255694235
"Wave_1392",3.23570392760472
"Wave_1393",2.65893056222644
"Wave_1394",1.41832364659962
"Wave_1395",5.14874047797512
"Wave_1396",6.23547898637861
"Wave_1397",7.78724468919764
"Wave_1398",6.19771301106464
"Wave_1399",8.1316624025412
"Wave_1400",8.65776434911634
"Wave_1401",9.24909058341643
"Wave_1402",7.92199604163292
"Wave_1403",8.56626959107789
"Wave_1404",9.42060869095166
"Wave_1405",9.27449900223043
"Wave_1406",7.27632326781962
"Wave_1407",5.47833243922542
"Wave_1408",5.30624019099905
"Wave_1409",2.70961762689112
"Wave_1410",0.339926500269439
"Wave_1411",-1.44807716991276
"Wave_1412",-0.994042757168224
"Wave_1413",-2.89473815885255
"Wave_1414",-5.18102857244638
"Wave_1415",-7.89336037228514
"Wave_1416",-7.09696002902137
"Wave_1417",-8.98813780838391
"Wave_1418",-11.6440041048207
"Wave_1419",-14.6199293372443
"Wave_1420",-13.7508788642701
"Wave_1421",-13.6447187335563
"Wave_1422",-13.9699266942497
"Wave_1423",-15.8118632585131
"Wave_1424",-15.0718379189507
"Wave_1425",-14.7597913000555
"Wave_1426",-14.4172475274444
"Wave_1427",-14.3035250562059
"Wave_1428",-12.3661348848555
"Wave_1429",-10.8577668023573
"Wave_1430",-10.3834414748147
"Wave_1431",-9.90472991309348
"Wave_1432",-7.36887067983131
"Wave_1433",-5.51352038112599
"Wave_1434",-5.04312672498144
"Wave_1435",-4.75763988858354
"Wave_1436",-2.32256913576117
"Wave_1437",0.0641366653788502
"Wave_1438",1.69258903641497
"Wave_1439",2.48081283434195
"Wave_1440",3.75341806584163
"Wave_1441",5.77721157585968
"Wave_1442",7.26802778249445
"Wave_1443",7.89864546999865
"Wave_1444",8.71352844672911
"Wave_1445",10.2706958982213
"Wave_1446",11.779372286291
"Wave_1447",12.4064492859883
"Wave_1448",12.714181046833
"Wave_1449",13.7374626082109
"Wave_1450",14.1839032097115
"Wave_1451",14.7241785573721
"Wave_1452",15.0573744432217
"Wave_1453",14.8558904427223
"Wave_1454",14.4741442410697
"Wave_1455",14.5168471877224
"Wave_1456",14.2524987614854
"Wave_1457",13.4382739156294
"Wave_1458",12.7526640081105
"Wave_1459",12.3960488638678
"Wave_1460",11.4042974893519
"Wave_1461",12.3695609703711
"Wave_1462",12.6945184930859
"Wave_1463",11.4723192406047
"Wave_1464",10.4390171441795
"Wave_1465",11.5882667344336
"Wave_1466",12.1264316575316
"Wave_1467",10.6476467327079
"Wave_1468",8.79819609193931
"Wave_1469",9.52512745750344
"Wave_1470",9.65646890152665
"Wave_1471",8.7606413346295
"Wave_1472",7.13243949159681
"Wave_1473",6.43429839450406
"Wave_1474",6.11599845969744
"Wave_1475",5.61595063188188
"Wave_1476",4.92980325370004
"Wave_1477",5.14321754632869
"Wave_1478",4.74204786902023
"Wave_1479",4.04482366157174
"Wave_1480",3.96591168764516
"Wave_1481",4.23774177072625
"Wave_1482",3.35754767761464
"Wave_1483",2.83253451390814
"Wave_1484",2.68529782753148
"Wave_1485",2.43589442658584
"Wave_1486",2.30430392280756
"Wave_1487",1.84355915010319
"Wave_1488",0.920642459117138
"Wave_1489",0.284434229333374
"Wave_1490",0.222732146942606
"Wave_1491",-0.039726828943198
"Wave_1492",-0.94124778061037
"Wave_1493",-2.17868531000756
"Wave_1494",-3.28859298394022
"Wave_1495",-3.40378339783356
"Wave_1496",-2.5714193080859
"Wave_1497",-3.04345108645333
"Wave_1498",-5.38472447800124
"Wave_1499",-6.47354758274793
"Wave_1500",-5.2983107674857
"Wave_1501",-5.72672135344259
"Wave_1502",-8.87165576129279
